"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-185-5p",733.06393820439,-1.15670849932646,0.10245671283804,-11.2897287770196,1.47491090004274e-29,1.78021745635159e-26
"hsa-miR-185-3p",60.3371570949583,-1.62249652012729,0.18765162775391,-8.64632265409953,5.31855942306401e-18,2.31076039269702e-15
"hsa-miR-206",10749.0992777584,7.77495082048402,0.900134363565712,8.63754472130696,5.74339782774735e-18,2.31076039269702e-15
"hsa-miR-296-3p",135.271222630413,1.47626679438015,0.186210804147593,7.92793308174559,2.22823317406665e-15,6.7236936027461e-13
"hsa-miR-1306-5p",63.4745017543354,-1.29997417575868,0.170438191014632,-7.6272469686508,2.39819893680765e-14,5.78925223345367e-12
"hsa-miR-133a-3p",245.759649287981,6.86590163200713,0.934308241620045,7.34864718746566,2.00222906594848e-13,4.02781747099969e-11
"hsa-miR-199a-5p",5083.86664278031,6.15753439977497,0.848612273815683,7.2560044083364,3.98692095206053e-13,6.87459084162437e-11
"hsa-miR-199a-3p",9836.45249708174,5.64467249590314,0.807567146731396,6.98972527392896,2.75425035871437e-12,3.6937557588536e-10
"hsa-miR-199b-3p",9836.45249708174,5.64467249590314,0.807567146731396,6.98972527392896,2.75425035871437e-12,3.6937557588536e-10
"hsa-miR-503-5p",274.868093822111,6.29670243102366,0.912818326610209,6.89808940888243,5.27065726481506e-12,6.36168331863178e-10
"hsa-miR-363-3p",15206.9080888029,2.8292954642756,0.420799042223887,6.72362619772854,1.77256821298496e-11,1.94499075733895e-09
"hsa-miR-214-5p",233.303201335707,5.26578738519708,0.786295333274423,6.69695871558642,2.12801707682205e-11,2.14043050977018e-09
"hsa-miR-1-3p",21180.083119872,5.25755137504538,0.787439793689207,6.67676616952949,2.44272219755721e-11,2.26797360957812e-09
"hsa-miR-483-5p",63.978558241008,6.87829275719064,1.05279330122125,6.53337435678185,6.43041418332051e-11,5.54393565661989e-09
"hsa-miR-133b",204.397515360288,6.78825769394009,1.07283812824501,6.32738296227835,2.49353965372213e-10,2.00646824136174e-08
"hsa-miR-30a-3p",5527.21987797767,1.25262418183518,0.198414778910512,6.31315967849417,2.73395147610524e-10,2.06242464478689e-08
"hsa-miR-424-3p",154.484661906054,4.70674615293943,0.75537696874729,6.23098975435411,4.63497423760956e-10,3.29083170870279e-08
"hsa-miR-148a-3p",73794.5428424961,1.10529184834307,0.178033952989235,6.20832054664256,5.35538297783493e-10,3.55940842404912e-08
"hsa-miR-214-3p",175.786562308811,5.7288838238469,0.923833125736987,6.20121065617417,5.60304557223971e-10,3.55940842404912e-08
"hsa-miR-490-5p",300.488795987161,-1.07302739381048,0.176611564003927,-6.07563496683958,1.23498056207278e-09,7.45310769210924e-08
"hsa-miR-30c-2-3p",466.968860343129,1.41262091932413,0.234936404438671,6.01278002316958,1.82368432489489e-09,1.04818427626102e-07
"hsa-miR-199b-5p",343.244667984981,4.39629912852861,0.739275387212861,5.9467678818621,2.73488797173289e-09,1.50045899176436e-07
"hsa-miR-455-3p",67.8730295803683,0.786402901191949,0.133146050412729,5.90631790244053,3.49838590466607e-09,1.83589208127476e-07
"hsa-miR-296-5p",85.9159995350553,1.28603703706251,0.218324766769258,5.89047709104709,3.85082254108343e-09,1.87820566297278e-07
